@relation test

@attribute place {Namburu,Kakani,Tadepalli,Amaravathi,KLU}
@attribute parameter {temperature,humidity,Rainfall,Pressure}
@attribute value numeric

@data
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
Tadepalli,temperature,22
Namburu,temperature,22
Namburu,temperature,22
Kakani,temperature,22
Namburu,temperature,22
